"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"012114:17-1-000:legal_applied:2020","legal_applied:20","012114","網走市","17-1-000","legal_applied","2020","20","2","2020460002000","7829"
"012114:17-1-000:legal_applied:2020","legal_applied:21","012114","網走市","17-1-000","legal_applied","2020","21","1","2020460002100","2874"
"012114:17-1-000:legal_applied:2020","legal_applied:21","012114","網走市","17-1-000","legal_applied","2020","21","2","2020460002100","7829"
"012114:17-1-000:legal_applied:2020","legal_applied:32","012114","網走市","17-1-000","legal_applied","2020","32","1","2020460003200","11"
"012114:17-1-000:legal_applied:2020","legal_applied:32","012114","網走市","17-1-000","legal_applied","2020","32","2","2020460003200","2103"
"012114:17-1-000:legal_applied:2020","legal_applied:33","012114","網走市","17-1-000","legal_applied","2020","33","1","2020460003300","11"
"012114:17-1-000:legal_applied:2020","legal_applied:33","012114","網走市","17-1-000","legal_applied","2020","33","2","2020460003300","2103"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:10","012122","留萌市","17-1-000","non_legal_applied","2020","10","1","2020470001000","4"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:10","012122","留萌市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1518"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:26","012122","留萌市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2291"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:26","012122","留萌市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6092"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:32","012122","留萌市","17-1-000","non_legal_applied","2020","32","1","2020470003200","4"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:32","012122","留萌市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1518"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:33","012122","留萌市","17-1-000","non_legal_applied","2020","33","1","2020470003300","4"
"012122:17-1-000:non_legal_applied:2020","non_legal_applied:33","012122","留萌市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1518"
"012131:17-1-000:legal_applied:2020","legal_applied:10","012131","苫小牧市","17-1-000","legal_applied","2020","10","1","2020460001000","12"
"012131:17-1-000:legal_applied:2020","legal_applied:10","012131","苫小牧市","17-1-000","legal_applied","2020","10","2","2020460001000","2104"
"012131:17-1-000:legal_applied:2020","legal_applied:20","012131","苫小牧市","17-1-000","legal_applied","2020","20","1","2020460002000","2875"
"012131:17-1-000:legal_applied:2020","legal_applied:20","012131","苫小牧市","17-1-000","legal_applied","2020","20","2","2020460002000","7830"
"012131:17-1-000:legal_applied:2020","legal_applied:21","012131","苫小牧市","17-1-000","legal_applied","2020","21","1","2020460002100","2875"
"012131:17-1-000:legal_applied:2020","legal_applied:21","012131","苫小牧市","17-1-000","legal_applied","2020","21","2","2020460002100","7830"
"012131:17-1-000:legal_applied:2020","legal_applied:32","012131","苫小牧市","17-1-000","legal_applied","2020","32","1","2020460003200","12"
"012131:17-1-000:legal_applied:2020","legal_applied:32","012131","苫小牧市","17-1-000","legal_applied","2020","32","2","2020460003200","2104"
"012131:17-1-000:legal_applied:2020","legal_applied:33","012131","苫小牧市","17-1-000","legal_applied","2020","33","1","2020460003300","12"
"012131:17-1-000:legal_applied:2020","legal_applied:33","012131","苫小牧市","17-1-000","legal_applied","2020","33","2","2020460003300","2104"
"012149:17-1-000:legal_applied:2020","legal_applied:10","012149","稚内市","17-1-000","legal_applied","2020","10","1","2020460001000","13"
"012149:17-1-000:legal_applied:2020","legal_applied:10","012149","稚内市","17-1-000","legal_applied","2020","10","2","2020460001000","2105"
"012149:17-1-000:legal_applied:2020","legal_applied:20","012149","稚内市","17-1-000","legal_applied","2020","20","1","2020460002000","2876"
"012149:17-1-000:legal_applied:2020","legal_applied:20","012149","稚内市","17-1-000","legal_applied","2020","20","2","2020460002000","7831"
"012149:17-1-000:legal_applied:2020","legal_applied:21","012149","稚内市","17-1-000","legal_applied","2020","21","1","2020460002100","2876"
"012149:17-1-000:legal_applied:2020","legal_applied:21","012149","稚内市","17-1-000","legal_applied","2020","21","2","2020460002100","7831"
"012149:17-1-000:legal_applied:2020","legal_applied:32","012149","稚内市","17-1-000","legal_applied","2020","32","1","2020460003200","13"
"012149:17-1-000:legal_applied:2020","legal_applied:32","012149","稚内市","17-1-000","legal_applied","2020","32","2","2020460003200","2105"
"012149:17-1-000:legal_applied:2020","legal_applied:33","012149","稚内市","17-1-000","legal_applied","2020","33","1","2020460003300","13"
"012149:17-1-000:legal_applied:2020","legal_applied:33","012149","稚内市","17-1-000","legal_applied","2020","33","2","2020460003300","2105"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:10","012157","美唄市","17-1-000","non_legal_applied","2020","10","1","2020470001000","5"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:10","012157","美唄市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1519"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:26","012157","美唄市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2292"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:26","012157","美唄市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6093"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:32","012157","美唄市","17-1-000","non_legal_applied","2020","32","1","2020470003200","5"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:32","012157","美唄市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1519"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:33","012157","美唄市","17-1-000","non_legal_applied","2020","33","1","2020470003300","5"
"012157:17-1-000:non_legal_applied:2020","non_legal_applied:33","012157","美唄市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1519"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:10","012165","芦別市","17-1-000","non_legal_applied","2020","10","1","2020470001000","6"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:10","012165","芦別市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1520"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:26","012165","芦別市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2293"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:26","012165","芦別市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6094"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:32","012165","芦別市","17-1-000","non_legal_applied","2020","32","1","2020470003200","6"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:32","012165","芦別市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1520"
"012165:17-1-000:non_legal_applied:2020","non_legal_applied:33","012165","芦別市","17-1-000","non_legal_applied","2020","33","1","2020470003300","6"
